Year,Value,Flag,Flag Description
1961,500.0,E,Estimated value
1962,500.0,E,Estimated value
1963,500.0,E,Estimated value
1964,500.0,E,Estimated value
1965,800.0,E,Estimated value
1966,800.0,E,Estimated value
1967,800.0,E,Estimated value
1968,1000.0,E,Estimated value
1969,1000.0,E,Estimated value
1970,1000.0,E,Estimated value
1971,1200.0,E,Estimated value
1972,1300.0,E,Estimated value
1973,1300.0,E,Estimated value
1974,1000.0,E,Estimated value
1975,1000.0,E,Estimated value
1976,1200.0,E,Estimated value
1977,1200.0,E,Estimated value
1978,1300.0,E,Estimated value
1979,1500.0,E,Estimated value
1980,1300.0,E,Estimated value
1981,1300.0,E,Estimated value
1982,1200.0,E,Estimated value
1983,1200.0,E,Estimated value
1984,1200.0,E,Estimated value
1985,1000.0,E,Estimated value
1986,1000.0,E,Estimated value
1987,1000.0,E,Estimated value
1988,1000.0,E,Estimated value
1989,1000.0,E,Estimated value
1990,1065.0,I,Imputed value
1991,825.28,I,Imputed value
1992,881.79,I,Imputed value
1993,940.55,I,Imputed value
1994,1004.9,I,Imputed value
1995,1053.68,I,Imputed value
1996,1100.0,T,Unofficial figure
1997,1200.0,T,Unofficial figure
1998,1200.0,T,Unofficial figure
1999,1300.0,T,Unofficial figure
2000,1350.0,T,Unofficial figure
2001,1400.0,E,Estimated value
2002,1464.58,I,Imputed value
2003,1529.47,I,Imputed value
2004,1576.03,I,Imputed value
2005,1632.08,I,Imputed value
2006,1689.24,I,Imputed value
2007,1747.62,I,Imputed value
2008,1803.36,I,Imputed value
2009,1861.77,I,Imputed value
2010,1918.67,I,Imputed value
2011,1975.43,I,Imputed value
2012,2033.66,I,Imputed value
2013,2089.95,I,Imputed value
2014,2230.25,I,Imputed value
2015,2246.85,I,Imputed value
2016,2289.63,I,Imputed value
2017,2344.88,I,Imputed value
2018,2293.79,E,Estimated value
2019,2309.43,E,Estimated value
2020,2316.03,E,Estimated value
2021,2306.42,E,Estimated value
