Year,Value,Flag,Flag Description
1961,1000.0,E,Estimated value
1962,1000.0,E,Estimated value
1963,1000.0,E,Estimated value
1964,1000.0,E,Estimated value
1965,1000.0,E,Estimated value
1966,1000.0,E,Estimated value
1967,1000.0,E,Estimated value
1968,1000.0,E,Estimated value
1969,1000.0,E,Estimated value
1970,1000.0,E,Estimated value
1971,1000.0,E,Estimated value
1972,2000.0,E,Estimated value
1973,2000.0,E,Estimated value
1974,2500.0,E,Estimated value
1975,3000.0,E,Estimated value
1976,3000.0,E,Estimated value
1977,2500.0,E,Estimated value
1978,2000.0,E,Estimated value
1979,2000.0,E,Estimated value
1980,2000.0,E,Estimated value
1981,2000.0,E,Estimated value
1982,2000.0,E,Estimated value
1983,2500.0,E,Estimated value
1984,2000.0,E,Estimated value
1985,2000.0,E,Estimated value
1986,1500.0,E,Estimated value
1991,0.0,M,"Missing value (data cannot exist, not applicable)"
1992,0.0,M,"Missing value (data cannot exist, not applicable)"
1993,0.0,M,"Missing value (data cannot exist, not applicable)"
1994,0.0,M,"Missing value (data cannot exist, not applicable)"
1995,0.0,M,"Missing value (data cannot exist, not applicable)"
1996,0.0,M,"Missing value (data cannot exist, not applicable)"
1997,0.0,M,"Missing value (data cannot exist, not applicable)"
1998,0.0,M,"Missing value (data cannot exist, not applicable)"
1999,0.0,M,"Missing value (data cannot exist, not applicable)"
2000,0.0,M,"Missing value (data cannot exist, not applicable)"
2001,0.0,M,"Missing value (data cannot exist, not applicable)"
2002,0.0,M,"Missing value (data cannot exist, not applicable)"
2003,0.0,M,"Missing value (data cannot exist, not applicable)"
2004,0.0,M,"Missing value (data cannot exist, not applicable)"
2005,0.0,M,"Missing value (data cannot exist, not applicable)"
2006,0.0,M,"Missing value (data cannot exist, not applicable)"
2007,0.0,M,"Missing value (data cannot exist, not applicable)"
2008,0.0,M,"Missing value (data cannot exist, not applicable)"
2009,0.0,M,"Missing value (data cannot exist, not applicable)"
2010,0.0,M,"Missing value (data cannot exist, not applicable)"
2011,0.0,M,"Missing value (data cannot exist, not applicable)"
2012,0.0,M,"Missing value (data cannot exist, not applicable)"
2013,0.0,M,"Missing value (data cannot exist, not applicable)"
2014,0.0,M,"Missing value (data cannot exist, not applicable)"
2015,0.0,M,"Missing value (data cannot exist, not applicable)"
2016,0.0,M,"Missing value (data cannot exist, not applicable)"
2017,0.0,M,"Missing value (data cannot exist, not applicable)"
2018,0.0,M,"Missing value (data cannot exist, not applicable)"
2019,0.0,M,"Missing value (data cannot exist, not applicable)"
2020,0.0,M,"Missing value (data cannot exist, not applicable)"
2021,0.0,M,"Missing value (data cannot exist, not applicable)"
