Year,Value,Flag,Flag Description
1961,500.0,E,Estimated value
1962,500.0,E,Estimated value
1963,500.0,E,Estimated value
1964,500.0,E,Estimated value
1965,800.0,E,Estimated value
1966,800.0,E,Estimated value
1967,900.0,E,Estimated value
1968,1000.0,E,Estimated value
1969,1000.0,E,Estimated value
1970,1000.0,E,Estimated value
1971,1000.0,E,Estimated value
1972,1000.0,E,Estimated value
1973,1000.0,E,Estimated value
1974,1200.0,E,Estimated value
1975,1200.0,E,Estimated value
1976,1300.0,E,Estimated value
1977,1200.0,E,Estimated value
1978,1300.0,E,Estimated value
1979,1300.0,E,Estimated value
1980,1300.0,E,Estimated value
1981,1400.0,E,Estimated value
1982,1300.0,E,Estimated value
1983,1300.0,E,Estimated value
1984,1300.0,E,Estimated value
1985,1200.0,E,Estimated value
1986,1400.0,E,Estimated value
1987,1500.0,E,Estimated value
1988,1500.0,E,Estimated value
1989,1500.0,E,Estimated value
1990,2000.0,E,Estimated value
1991,4000.0,E,Estimated value
1992,10000.0,E,Estimated value
1993,12000.0,E,Estimated value
1994,16000.0,E,Estimated value
1995,18000.0,E,Estimated value
1996,16000.0,E,Estimated value
1997,9000.0,E,Estimated value
1998,13500.0,E,Estimated value
1999,14000.0,E,Estimated value
2000,24000.0,E,Estimated value
2001,30000.0,E,Estimated value
2002,40000.0,A,Official figure
2003,40000.0,A,Official figure
2004,40000.0,A,Official figure
2005,40000.0,A,Official figure
2006,35000.0,A,Official figure
2007,37000.0,A,Official figure
2008,37000.0,A,Official figure
2009,37000.0,A,Official figure
2010,40600.0,A,Official figure
2011,40600.0,A,Official figure
2012,30000.0,E,Estimated value
2013,17000.0,A,Official figure
2014,28000.0,A,Official figure
2015,51000.0,A,Official figure
2016,76000.0,A,Official figure
2017,102020.79,I,Imputed value
2018,134000.0,A,Official figure
2019,182000.0,A,Official figure
2020,211000.0,A,Official figure
2021,243000.0,A,Official figure
